onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.50522278	0	Control	./Sounds/frog_CTRL.wav	3.5049422	3.9879422	1	noise
8.53106268	0	Experimental	./Sounds/SCREAM.wav	10.5334408	11.0984408	1	scream
15.53846528	0	Experimental	./Sounds/TELEPHON.wav	17.9302169	18.4462169	1	telephone
22.92949988	0	Control	./Sounds/parrot_CTRL.wav	25.3301354	25.7491354	1	noise
30.34491418	0	Experimental	./Sounds/HARP.wav	33.2444073	33.7594073	1	harp
38.24356668	0	Experimental	./Sounds/SHEEP.wav	40.0783217	40.5583217	1	sheep
45.08554358	0	Control	./Sounds/Flute_CTRL.wav	49.7692685	50.2602685	1	noise
54.77757338	0	Experimental	./Sounds/Motorcyc.wav	59.1341373	59.6471373	1	motorbike
64.14486858	0	Experimental	./Sounds/HARMONCA.wav	69.5118027	70.0188027	1	harmonica
74.53673608	0	Control	./Sounds/ROOSTER_CTRL.wav	77.7450184	78.2210184	1	noise
82.74355988	0	Experimental	./Sounds/Airplane.wav	87.6678997	88.1048997	1	aeroplane
92.67716778	0	Experimental	./Sounds/ROOSTER.wav	96.2005199	96.7815199	1	cockerel
101.1905361	0	Control	./Sounds/VIOLIN_CTRL.wav	105.9681872	106.4521872	1	noise
110.9609709	0	Experimental	./Sounds/BOWLING.wav	117.0653745	117.5083745	1	bowling
122.0861492	0	Experimental	./Sounds/Woodpckr.wav	123.9787833	124.5137833	0	don't know
128.9858443	0	Control	./Sounds/snore_CTRL.wav	130.9851685	131.5221685	1	noise
136.0036272	0	Experimental	./Sounds/guitar.wav	138.1974554	138.6564554	0	don't know
143.2108878	0	Control	./Sounds/DUCK_CTRL.wav	146.6168873	147.1208873	1	noise
151.6269181	0	Control	./Sounds/GARGLING_CTRL.wav	155.0252864	155.5422864	1	noise
160.0287386	0	Experimental	./Sounds/Bagpipes.wav	163.8006261	164.3196261	1	bagpipes
168.8192306	0	Control	./Sounds/DOORBELL_CTRL.wav	171.2115799	171.8835799	1	noise
176.2221355	0	Control	./Sounds/footsteps_CTRL.wav	178.4234348	178.9814348	1	noise
183.4273682	0	Experimental	./Sounds/gong.wav	185.6311032	186.1921032	1	gong
190.6431174	0	Experimental	./Sounds/bicycle.wav	192.6541471	193.1721471	1	bell
197.6623542	0	Control	./Sounds/gong_CTRL.wav	199.7673915	200.3643915	1	noise
204.7776507	0	Experimental	./Sounds/Baskball.wav	208.3198883	209.2028883	0	don't know
213.3271761	0	Experimental	./Sounds/piano.wav	214.9351118	215.5131118	1	piano
219.9622356	0	Control	./Sounds/Sandpapr_CTRL.wav	222.3172981	222.8892981	1	noise
227.3290252	0	Experimental	./Sounds/Crow.wav	230.5504424	231.0214424	1	crow
235.5624036	0	Control	./Sounds/TELEPHON_CTRL.wav	237.6616029	238.2946029	1	noise
242.6707766	0	Control	./Sounds/monkey_CTRL.wav	244.1772824	244.8262824	1	noise
249.2032604	0	Experimental	./Sounds/Sawing.wav	252.410576	252.849576	1	saw
257.4343582	0	Control	./Sounds/DONKEY_CTRL.wav	260.897047	261.333047	1	noise
265.8968429	0	Control	./Sounds/Whistle_CTRL.wav	267.580726	268.067726	1	noise
272.5933701	0	Experimental	./Sounds/turkey.wav	274.6086054	275.0306054	0	don't know
279.6188877	0	Experimental	./Sounds/whip.wav	281.1174705	281.7954705	0	don't know
286.112238	0	Control	./Sounds/HARMONCA_CTRL.wav	291.2701227	291.7221227	1	noise
296.2789847	0	Experimental	./Sounds/Whistle.wav	297.6841217	298.2651217	1	whistle
302.6776122	0	Experimental	./Sounds/footsteps.wav	304.7868559	305.1708559	1	stairs
309.788823	0	Control	./Sounds/Airplane_CTRL.wav	315.0028129	315.4798129	1	noise
320.0113309	0	Control	./Sounds/Toilet_CTRL.wav	326.0028104	326.4418104	1	noise
331.0270772	0	Experimental	./Sounds/frog.wav	332.8350745	333.4550745	1	frog
337.8117438	0	Experimental	./Sounds/Sandpapr.wav	340.1686936	340.6496936	1	sandpaper
345.1780913	0	Control	./Sounds/Crow_CTRL.wav	348.7926608	349.3056608	1	noise
353.8111469	0	Control	./Sounds/HARP_CTRL.wav	356.6051726	357.1051726	1	noise
361.605725	0	Experimental	./Sounds/LION.wav	365.2804343	365.8404343	1	lion
370.2787628	0	Control	./Sounds/clock_CTRL.wav	372.1918024	372.9898024	1	noise
377.202398	0	Control	./Sounds/TRUMPET_CTRL.wav	380.1851046	380.6951046	1	noise
385.1942355	0	Experimental	./Sounds/helicopter.wav	387.5032927	388.1282927	0	don't know
392.5282968	0	Control	./Sounds/Clapping_CTRL.wav	395.6172496	396.2632496	1	noise
